TargetID	ProbeID	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	 Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval
BIOTIN	3940609	3212.053	0	2979.155	0	3397.695	0	3360.093	0	3592.315	0	3937.842	0	3504.835	0	2989.3	0
CY3_HYB	1010475	18771.54	0	18004.2	0	22337.61	0	21071.86	0	22655.37	0	23929.45	0	21414.71	0	20525.31	0
CY3_HYB	2260059	582.6864	0	545.2687	0	562.4397	0	566.5549	0	557.2908	0	634.4115	0	618.2842	0	594.3492	0
CY3_HYB	2320133	8607.104	0	7670.25	0	8284.028	0	7926.582	0	8468.769	0	9068.803	0	8733.724	0	8472.839	0
CY3_HYB	3460301	471.8443	0	410.295	0	488.0414	0	498.5802	0	499.1167	0	531.4457	0	531.9036	0	489.7022	0
HIGH_STRINGENCY_HYB	3390114	28816.18	0	25785.12	0	30454.18	0	29806.65	0	28953.44	0	31481.25	0	27192.54	0	27886.6	0
HOUSEKEEPING	130424	6176.403	0	6143.937	0	7741.167	0	5718.644	0	8513.628	0	9333.838	0	7719.504	0	8726.383	0
HOUSEKEEPING	1070519	20176	0	19147.69	0	23977.63	0	17820.06	0	16395.9	0	18457.26	0	15761.5	0	17926.29	0
HOUSEKEEPING	2690379	25716.25	0	23412.55	0	27016.42	0	24544.04	0	23037.99	0	25953.53	0	20741.48	0	24185.09	0
HOUSEKEEPING	4260048	7139.946	0	7150.127	0	9013.123	0	6892.582	0	2986.884	0	3552.746	0	2776.618	0	3188.565	0
HOUSEKEEPING	4590356	822.1053	0	846.2236	0	1194.419	0	804.3173	0	504.4583	0	555.6063	0	433.9825	0	563.1785	0
HOUSEKEEPING	5860528	20378.33	0	18619.9	0	21130.49	0	19233.08	0	19878.35	0	22183.7	0	19812.94	0	20260.97	0
HOUSEKEEPING	7330341	11510.96	0	10850.56	0	12314.7	0	10709.64	0	2710.095	0	3082.443	0	2615.651	0	2795.141	0
LABELING	1030092	208.8381	0	196.8659	0	266.7423	0	208.7154	0	237.0758	0	290.7391	0	214.8769	0	273.7911	0
LABELING	2190356	401.3641	0	392.4395	0	526.5751	0	396.125	0	478.4514	0	563.9206	0	427.4148	0	507.6715	0
LABELING	5570301	60.22507	0.4152542	56.77627	0.4717514	66.12608	0.2980226	53.70541	0.8573446	59.3756	0.5211864	64.40541	0.5169492	56.08129	0.7457627	61.36892	0.3742938
LABELING	5690301	400.4951	0	358.7479	0	489.9849	0	352.0104	0	462.3271	0	547.6306	0	422.716	0	512.7356	0
LABELING	6250753	69.77962	0.06779661	65.28313	0.07768361	71.22826	0.1002825	68.60703	0.08192091	67.99829	0.1016949	74.083	0.09463277	70.29404	0.06214689	68.53674	0.1045198
LABELING	6590632	373.2082	0	345.3246	0	519.4948	0	339.076	0	444.9445	0	516.1504	0	399.9532	0	525.9644	0
LABELING	7100224	423.4154	0	385.02	0	464.3991	0	399.5426	0	506.542	0	559.8503	0	464.1357	0	529.7925	0
LOW_STRINGENCY_HYB	1010475	18771.54	0	18004.2	0	22337.61	0	21071.86	0	22655.37	0	23929.45	0	21414.71	0	20525.31	0
LOW_STRINGENCY_HYB	2320133	8607.104	0	7670.25	0	8284.028	0	7926.582	0	8468.769	0	9068.803	0	8733.724	0	8472.839	0
LOW_STRINGENCY_HYB	3190750	228.5683	0	210.5765	0	230.6374	0	231.5755	0	278.8788	0	284.5912	0	271.7744	0	276.7488	0
NEGATIVE	10328	61.96585	0.3121469	68.02128	0.03672316	65.81786	0.319209	61.0648	0.4011299	59.48893	0.5155367	74.36035	0.09039548	61.14537	0.4053672	66.91427	0.1468927
NEGATIVE	10612	59.34987	0.4844633	57.79063	0.4194915	60.75754	0.59887	58.48959	0.5720339	61.48997	0.3785311	62.30122	0.65113	58.51567	0.6031073	57.58157	0.6398305
NEGATIVE	10692	68.67246	0.08333334	55.99952	0.5324859	60.27861	0.6327683	63.33571	0.2824859	54.62138	0.8319209	68.21122	0.3050847	58.40974	0.6129944	57.16806	0.6737288
NEGATIVE	10747	65.01418	0.180791	57.06837	0.4576271	58.98937	0.7217514	63.33036	0.2838983	58.95686	0.5451977	65.14171	0.460452	66.91083	0.1384181	66.33316	0.1765537
NEGATIVE	20139	57.71307	0.6101695	55.05027	0.6059322	53.42254	0.960452	52.42685	0.8997175	57.72434	0.6370056	64.01871	0.5508475	58.13797	0.6341808	54.40075	0.8234463
NEGATIVE	20241	62.91639	0.2782486	55.70286	0.5564972	61.82971	0.5423729	55.32985	0.7923729	62.26052	0.3333333	63.03	0.6101695	55.29889	0.7966102	54.01098	0.8545198
NEGATIVE	20307	65.9816	0.1384181	66.02097	0.06920904	73.07433	0.06638418	66.20229	0.1567797	68.99329	0.08050848	66.17721	0.4096045	65.59468	0.1765537	66.35182	0.1751412
NEGATIVE	20441	59.03087	0.5056497	66.42331	0.05508475	71.92191	0.08615819	62.11898	0.3418079	60.99531	0.4039548	70.99272	0.1878531	72.53361	0.03672316	69.46323	0.08333334
NEGATIVE	20603	74.28208	0.02542373	61.34015	0.2316384	66.3801	0.2838983	66.99718	0.1186441	76.87013	0.01412429	73.74182	0.1002825	81.45309	0.005649718	71.1413	0.06638418
NEGATIVE	50017	75.17013	0.01694915	70.82967	0.02118644	73.24873	0.06355932	66.49892	0.1370057	74.02407	0.02824859	73.43037	0.1087571	68.9278	0.09887005	67.6514	0.1285311
NEGATIVE	50044	59.31694	0.4858757	56.57109	0.4943503	60.00556	0.6440678	62.71983	0.309322	60.01482	0.4675141	73.58801	0.1073446	55.20906	0.8022599	63.0703	0.3107345
NEGATIVE	50180	52.76741	0.8940678	59.37897	0.309322	56.43021	0.8615819	54.45696	0.8248588	45.81401	0.9957627	59.70374	0.7980226	57.81936	0.65113	50.44357	0.950565
NEGATIVE	50706	60.17686	0.420904	51.50587	0.8361582	56.99544	0.8375706	57.50568	0.6454802	58.30925	0.6016949	60.90616	0.7358757	56.87996	0.7076271	57.75622	0.6285311
NEGATIVE	60437	52.3031	0.9081921	51.50662	0.8347458	57.14835	0.8220339	48.56723	0.980226	45.12799	0.9985875	54.6584	0.9449152	56.29182	0.7358757	54.90056	0.8064972
NEGATIVE	60523	59.79313	0.4477401	52.75739	0.7556497	65.80193	0.3206215	58.89339	0.5381356	61.98696	0.3545198	71.23404	0.1850283	62.03292	0.3629943	58.48035	0.5833333
NEGATIVE	60646	53.83952	0.8516949	50.94794	0.8629944	56.36162	0.8672317	58.30513	0.5833333	61.67607	0.3714689	65.20257	0.4562147	56.13543	0.7443503	54.60648	0.8177966
NEGATIVE	60661	61.88176	0.3163842	52.56101	0.7740113	63.24541	0.4477401	65.47911	0.180791	58.53841	0.5819209	64.26319	0.5310735	63.62828	0.259887	58.32892	0.5946327
NEGATIVE	70035	65.88024	0.1483051	61.57241	0.2175141	71.54558	0.0960452	68.62999	0.08192091	68.80145	0.08333334	69.08562	0.2485876	70.08011	0.07768361	67.03964	0.1398305
NEGATIVE	70731	53.13401	0.8771186	47.57597	0.960452	58.7752	0.7372881	47.07562	0.9929379	57.63709	0.6483051	59.47157	0.8121469	49.11416	0.980226	54.07817	0.8531073
NEGATIVE	70753	61.1267	0.3573446	52.99494	0.7372881	58.24574	0.7725989	66.52123	0.1341808	56.67941	0.7062147	64.83225	0.4844633	60.60175	0.450565	65.38371	0.200565
NEGATIVE	110139	57.74718	0.6045198	54.5751	0.6426554	62.68649	0.4816384	57.14858	0.6723164	55.72622	0.769774	64.39465	0.519774	51.99169	0.920904	55.80703	0.7457627
NEGATIVE	110433	67.44975	0.1031073	61.57228	0.2189265	67.32289	0.2330509	56.90873	0.6878531	69.96215	0.06497175	63.16121	0.6016949	64.61211	0.210452	67.76295	0.1242938
NEGATIVE	130082	62.6962	0.2824859	57.92762	0.4067796	63.92851	0.4067796	60.03446	0.4477401	60.53559	0.430791	64.56988	0.509887	60.18984	0.4830509	56.75529	0.6963277
NEGATIVE	130301	58.42765	0.5536723	60.87087	0.2443503	67.48158	0.2231638	59.34977	0.5042373	56.0281	0.7485875	62.4571	0.6412429	59.37544	0.5367231	53.87725	0.8587571
NEGATIVE	130402	58.65825	0.5324859	49.59482	0.9124294	61.77766	0.5466102	60.19932	0.4392655	64.11137	0.2259887	68.29543	0.3022599	53.37667	0.8940678	63.77024	0.2683616
NEGATIVE	150255	55.51757	0.7471752	56.49069	0.5028248	61.25407	0.5762712	70.44881	0.04661017	59.40578	0.519774	64.39995	0.5183616	58.79689	0.579096	58.5738	0.5762712
NEGATIVE	150341	61.34083	0.3474576	67.73724	0.04378531	67.67264	0.2161017	66.13598	0.1581921	70.2756	0.0579096	64.10278	0.5437853	66.28845	0.1596045	64.58825	0.2415254
NEGATIVE	150438	58.12204	0.5677966	44.10114	0.9957627	58.61007	0.75	48.82788	0.9717514	58.28031	0.6045198	52.84055	0.970339	50.20829	0.9576271	50.32767	0.9576271
NEGATIVE	150682	57.02948	0.6483051	59.71104	0.2966102	58.07573	0.7754237	63.74205	0.2627119	59.26314	0.529661	57.414	0.8884181	55.16608	0.8050848	52.27027	0.9110169
NEGATIVE	150725	62.18492	0.3008475	51.23809	0.8502825	58.31589	0.7669492	52.32488	0.9067796	56.84975	0.6991525	60.9984	0.7274011	63.8358	0.25	56.06733	0.730226
NEGATIVE	160615	52.38898	0.9039548	53.76089	0.6977401	60.33363	0.6285311	57.74946	0.6228814	51.76365	0.9293785	61.05813	0.7245763	60.55044	0.4562147	58.93187	0.549435
