PROBE_ID	SYMBOL	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval						
ILMN_1809034	15E1.2	165.5088	0	139.116	0	223.1929	0	163.75	0	75.69946	0.01553672	82.01754	0.01412429	75.84711	0.01694915	77.66209	0.008474576						
ILMN_1660305	2'-PDE	191.599	0	170.4738	0	254.9532	0	183.9253	0	137.3214	0	160.3645	0	132.2932	0	143.7151	0						
ILMN_1792173	76P	135.7781	0	126.6627	0	153.7217	0	127.1531	0	119.9148	0	120.5771	0	102.2234	0	124.5859	0						
ILMN_1762337	7A5	58.43479	0.5508475	50.68753	0.8728814	53.55626	0.9548023	59.02983	0.5282486	60.84954	0.4166667	53.38628	0.9675141	57.33799	0.6793785	55.10875	0.7923729						
ILMN_1736007	A1BG	66.03641	0.1355932	58.20685	0.3926554	64.6452	0.3757062	64.9562	0.2019774	67.45068	0.1172316	68.93299	0.2584746	57.3232	0.680791	67.74043	0.1257062						
ILMN_1787689	A2BP1	71.3323	0.04378531	69.96542	0.0240113	71.23449	0.1002825	63.71959	0.2627119	71.29861	0.04519774	78.278	0.03954802	75.7546	0.01694915	76.61668	0.01553672						
ILMN_1731507	A2BP1	48.77214	0.9774011	47.08197	0.9689265	51.69953	0.980226	46.3588	0.9957627	53.58736	0.8799435	57.15604	0.8968927	50.92687	0.9449152	53.1386	0.8898305						
ILMN_1814316	A2BP1	59.08844	0.5	59.16035	0.3248588	62.54728	0.4887006	57.81906	0.6144068	57.87477	0.6228814	61.634	0.6935028	56.74704	0.7118644	55.10802	0.7923729						
ILMN_1745607	A2M	667.097	0	614.2201	0	1133.244	0	710.0263	0	5594.309	0	5873.803	0	4068.625	0	5833.578	0						
ILMN_1757454	A2ML1	61.18002	0.3531073	66.29353	0.0579096	73.56635	0.05932203	67.54348	0.1045198	63.62966	0.2387006	69.37578	0.2344633	64.65336	0.2076271	63.76181	0.2683616						
ILMN_1735045	A4GALT	217.5754	0	203.0123	0	227.5974	0	211.7801	0	185.9565	0	209.0084	0	174.9776	0	179.7863	0						
